category,rating,label,text_,text_length,word_count,is_fake,text_clean,exclamation_count,question_count,capital_ratio,digit_count,unique_word_ratio,avg_word_length,sentence_count,sentiment_polarity,sentiment_subjectivity,is_extreme_rating,is_very_short,is_very_long
Kindle_Store_5,3.0,CG,"Eva is on her to find a way to escape her abusive mother. When she meets a handsome stranger she doesn't know is the man she wants but the man she wants is strong and handsome. She is in love with him and will do anything to get her happily ever after.

I loved this book! I can't wait to see how the next book comes out!I received a free copy of this book from the author for an honest review.

This book was so good. I loved it. I loved the character development. I loved the relationship between the two main characters. The romance was real, and the story flowed at a great pace. It was a fun read. I would definitely recommend this book to anyone.I received this book for an honest review.  This is my first book by this author and I was very happy to see it.  I love the characters and the plot.  I will definitely be looking for more by this author.  This is a great series and I look forward to reading more from this author",926,183,1,"eva is on her to find a way to escape her abusive mother. when she meets a handsome stranger she doesn't know is the man she wants but the man she wants is strong and handsome. she is in love with him and will do anything to get her happily ever after. i loved this book! i can't wait to see how the next book comes out!i received a free copy of this book from the author for an honest review. this book was so good. i loved it. i loved the character development. i loved the relationship between the two main characters. the romance was real, and the story flowed at a great pace. it was a fun read. i would definitely recommend this book to anyone.i received this book for an honest review. this is my first book by this author and i was very happy to see it. i love the characters and the plot. i will definitely be looking for more by this author. this is a great series and i look forward to reading more from this author",2,0,0.0,0,0.5027624309392266,3.9171270718232045,16,0.4794642857142858,0.6142857142857144,0,0,1
Clothing_Shoes_and_Jewelry_5,5.0,CG,"This is my second Glamorise and I love the look. I will keep this bag in my wardrobe.I bought this for my son, he loves it! He wears it often and it's comfortable. I have been wearing it every day for about 2 years and it still holds up. I love it. I have a wide foot and I can wear it on my feet all day long. I just wish there was more pockets for items that go in one",370,81,1,"this is my second glamorise and i love the look. i will keep this bag in my wardrobe.i bought this for my son, he loves it! he wears it often and it's comfortable. i have been wearing it every day for about 2 years and it still holds up. i love it. i have a wide foot and i can wear it on my feet all day long. i just wish there was more pockets for items that go in one",1,0,0.0,1,0.6582278481012658,3.4177215189873418,8,0.26785714285714285,0.4714285714285714,1,0,0
Kindle_Store_5,4.0,OR,I absolutely love this series. The Ravens are the hottest protection force there is. They will do anything to protect and provide for their Fated. Can't wait to start the next book.,181,32,0,i absolutely love this series. the ravens are the hottest protection force there is. they will do anything to protect and provide for their fated. can't wait to start the next book.,0,0,0.0,0,0.90625,4.46875,4,0.25,0.3,0,0,0
Movies_and_TV_5,5.0,CG,"Probably best movie Rutger Howerton has made. Not too many people make a movie like this. If you want to watch a movie with Rutger Howerton, you will like this one. It is a very good movie.",189,37,1,"probably best movie rutger howerton has made. not too many people make a movie like this. if you want to watch a movie with rutger howerton, you will like this one. it is a very good movie.",0,0,0.0,0,0.7297297297297297,4.0,4,0.8033333333333333,0.5266666666666667,1,0,0
Clothing_Shoes_and_Jewelry_5,5.0,OR,"Unfortunately the black didn't work for a lot of my dresses. I wanted to love it ! The quality is beautiful and shipment and packing super cute. Hopefully, if I order the cream will work out better for me... if I order the other color will leave another review with pictures of what it worked with :)",297,56,0,"unfortunately the black didn't work for a lot of my dresses. i wanted to love it ! the quality is beautiful and shipment and packing super cute. hopefully, if i order the cream will work out better for me... if i order the other color will leave another review with pictures of what it worked with",1,0,0.0,0,0.7454545454545455,4.218181818181818,4,0.2520833333333333,0.6968749999999999,1,0,0
Sports_and_Outdoors_5,3.0,OR,"I have mixed emotions about this water filter system. I love how it is hung from a tree, and doesn't require pumping, but I did run into problems. I used it for a week in Boundary Waters, at least the bag. After 4 days,providing water for 6 people, the filter was completely clogged, and is incapable of being back flushed. The pre-filter screen was not fine enough to catch the ""material/ suspected tannin"" in the BWCA water. I eventually attached a Sawyer inline filter to the outlet hose which got me through the last 4 days. My Base Camp Pro did come with the new and improved filer, but it couldn't handle what I needed it to. I love the idea, but was pretty disappointed.",674,126,0,"i have mixed emotions about this water filter system. i love how it is hung from a tree, and doesn't require pumping, but i did run into problems. i used it for a week in boundary waters, at least the bag. after 4 days,providing water for 6 people, the filter was completely clogged, and is incapable of being back flushed. the pre filter screen was not fine enough to catch the material suspected tannin in the bwca water. i eventually attached a sawyer inline filter to the outlet hose which got me through the last 4 days. my base camp pro did come with the new and improved filer, but it couldn't handle what i needed it to. i love the idea, but was pretty disappointed.",0,0,0.0,3,0.6935483870967742,4.225806451612903,8,-0.043997668997669,0.5016317016317016,0,0,0
Clothing_Shoes_and_Jewelry_5,5.0,CG,"I really like these shoes. They have the wide toe box that most people need, and the heel is a little too wide. I am a 32D, and these are a little large for",156,34,1,"i really like these shoes. they have the wide toe box that most people need, and the heel is a little too wide. i am a 32d, and these are a little large for",0,0,0.0,2,0.7575757575757576,3.515151515151515,3,0.048469387755102046,0.4183673469387755,1,0,0
Movies_and_TV_5,4.0,OR,"This is a strong production filled with beautiful and dramatic singing, and Wixell's playing a dual role tightens the story. Some artistic lapses in the directing are made up for by the exceptional final act.",208,35,0,"this is a strong production filled with beautiful and dramatic singing, and wixell's playing a dual role tightens the story. some artistic lapses in the directing are made up for by the exceptional final act.",0,0,0.0,0,0.8857142857142857,4.828571428571428,2,0.32142857142857134,0.8904761904761905,0,0,0
Tools_and_Home_Improvement_5,4.0,CG,"I have had this in use for over a year and I have not had a problem.  The light is bright enough to see your feet and then the light goes on and off again.  The bulb is not dimmable so it will not last long.  I have had no issues with it.  I have the option of changing the color of the light to a white or a blue.  This light is not meant for camping.  I have a camping trailer so I have not had to change it yet.  The light does not provide any illumination, so I have",463,101,1,"i have had this in use for over a year and i have not had a problem. the light is bright enough to see your feet and then the light goes on and off again. the bulb is not dimmable so it will not last long. i have had no issues with it. i have the option of changing the color of the light to a white or a blue. this light is not meant for camping. i have a camping trailer so i have not had to change it yet. the light does not provide any illumination, so i have",0,0,0.0,0,0.5247524752475248,3.514851485148515,8,0.2409090909090909,0.4878787878787879,0,0,0
Movies_and_TV_5,4.0,OR,"I had heard about 24 for a long time before ever seeing it.  I finally saw an episode a few weeks ago and thought it was quite good.  I ended up deciding to watch the first season.

It was certainly a highly entertaining show with no end to the action.  It contains murder, espionage, terrorism, traitors, kidnapping and a presidential assassination plot.  And that is all in one day.

The concept of the show is that each episode represents one hour of a day in real time.  The hero, federal anti terrorist agent Jack Bauer, encounters more action in two hours than any 50 average people do in their entire lives.

Although some of the events are certainly implausible in the time frames allotted, it is great entertainment.  Although I am not much of a TV watcher, I may just become one for this show.  I recommend it.",810,148,0,"i had heard about 24 for a long time before ever seeing it. i finally saw an episode a few weeks ago and thought it was quite good. i ended up deciding to watch the first season. it was certainly a highly entertaining show with no end to the action. it contains murder, espionage, terrorism, traitors, kidnapping and a presidential assassination plot. and that is all in one day. the concept of the show is that each episode represents one hour of a day in real time. the hero, federal anti terrorist agent jack bauer, encounters more action in two hours than any 50 average people do in their entire lives. although some of the events are certainly implausible in the time frames allotted, it is great entertainment. although i am not much of a tv watcher, i may just become one for this show. i recommend it.",0,0,0.0,4,0.678082191780822,4.383561643835616,11,0.19095238095238096,0.4453174603174604,0,0,0
